eval_set,range,cut,baseline,n,sparsa_mean,baseline_mean,paired_delta,ci_low,ci_high
eval-val,medium,AUC,marinfold-exp199-cw-p06-cool-step290400,97,0.8943263617817965,0.9626733290349387,-0.06834696725314202,-0.08196109783571782,-0.05503799342485239
eval-val,medium,L,marinfold-exp232-decontam-m2-p06-step145199,97,0.10503734683719868,0.14266464020769118,-0.03762729337049251,-0.04553872772316968,-0.02989574172222905
eval-val,medium,L,marinfold-exp232-decontam-m1-p02-step145199,97,0.10503734683719868,0.13664582583267063,-0.031608478995471964,-0.03976303532300438,-0.023988531719179126
eval-val,medium,L,marinfold-exp199-cw-p06-cool-step290400,97,0.10503734683719868,0.14984421969753609,-0.04480687286033742,-0.05313112603657653,-0.03700109276452314
eval-val,medium,L/2,marinfold-exp232-decontam-m2-p06-step145199,97,0.15995627031437326,0.256426074356246,-0.09646980404187279,-0.11525881775902293,-0.07864661739937556
eval-val,medium,L/2,marinfold-exp232-decontam-m1-p02-step145199,97,0.15995627031437326,0.24364533140299022,-0.08368906108861696,-0.10148051767543102,-0.06684685087727765
eval-val,medium,L/2,marinfold-exp199-cw-p06-cool-step290400,97,0.15995627031437326,0.2766571402917791,-0.11670086997740588,-0.1349687246684713,-0.09861779899850884
eval-val,medium,L/5,marinfold-exp232-decontam-m2-p06-step145199,97,0.24739775476055315,0.4703235417427193,-0.2229257869821661,-0.2624811358527585,-0.18369627953712234
eval-val,medium,L/5,marinfold-exp232-decontam-m1-p02-step145199,97,0.24739775476055315,0.4446106025844658,-0.19721284782391268,-0.23738903773571485,-0.15732154580074734
eval-val,medium,L/5,marinfold-exp199-cw-p06-cool-step290400,97,0.24739775476055315,0.527501062768997,-0.28010330800844385,-0.3207490259101859,-0.23982302848699932
eval-val,medium,R,marinfold-exp232-decontam-m2-p06-step145199,97,0.2698553139788794,0.5254312045303964,-0.25557589055151697,-0.29710777409875955,-0.2144998583194859
eval-val,medium,R,marinfold-exp232-decontam-m1-p02-step145199,97,0.2698553139788794,0.48665479142919366,-0.2167994774503142,-0.25786338803102427,-0.17715090532098027
eval-val,medium,R,marinfold-exp199-cw-p06-cool-step290400,97,0.2698553139788794,0.5878675550426963,-0.3180122410638168,-0.35967065337290066,-0.27721644069005813
